Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
百度,11,312,312,389,389,556,104,556,9.09%,.8,1.9,111.43
总体,11,312,312,389,389,556,104,556,9.09%,.8,1.9,111.43
