Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
百度,11,254,246,345,345,383,54,383,9.09%,.9,2.0,80.91
总体,11,254,246,345,345,383,54,383,9.09%,.9,2.0,80.91
