Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,标准偏差
百度,11,218,231,268,268,270,44,270,9.09%,.9,2.1,58.82
总体,11,218,231,268,268,270,44,270,9.09%,.9,2.1,58.82
